,feature,fscore
0,PersonalField63,2.1957753282684117e-05
1,PersonalField39,2.1957753282684117e-05
2,GeographicField23A,2.1957753282684117e-05
3,PersonalField60,2.1957753282684117e-05
4,PersonalField58,2.1957753282684117e-05
5,PersonalField7,2.1957753282684117e-05
6,PersonalField52,2.1957753282684117e-05
7,PersonalField71,2.1957753282684117e-05
8,PersonalField72,4.3915506565368234e-05
9,PersonalField55,4.3915506565368234e-05
10,GeographicField56A,4.3915506565368234e-05
11,PersonalField57,4.3915506565368234e-05
12,PersonalField37,4.3915506565368234e-05
13,PersonalField36,4.3915506565368234e-05
14,PersonalField34,4.3915506565368234e-05
15,PersonalField56,4.3915506565368234e-05
16,PropertyField10,6.587325984805235e-05
17,PersonalField62,6.587325984805235e-05
18,PersonalField38,6.587325984805235e-05
19,GeographicField22A,6.587325984805235e-05
20,PersonalField83,6.587325984805235e-05
21,PersonalField42,8.783101313073647e-05
22,PersonalField35,8.783101313073647e-05
23,PersonalField61,8.783101313073647e-05
24,PersonalField54,8.783101313073647e-05
25,PersonalField59,8.783101313073647e-05
26,PersonalField48,8.783101313073647e-05
27,PersonalField78,0.00010978876641342057
28,PersonalField24,0.00010978876641342057
29,GeographicField63,0.00010978876641342057
30,GeographicField62A,0.00010978876641342057
31,PropertyField2A,0.00010978876641342057
32,GeographicField60A,0.00010978876641342057
33,PersonalField46,0.0001317465196961047
34,PersonalField32,0.0001317465196961047
35,GeographicField61A,0.0001537042729787888
36,GeographicField5A,0.00017566202626147294
37,GeographicField18A,0.00017566202626147294
38,PropertyField11A,0.00019761977954415704
39,PersonalField23,0.00019761977954415704
40,PersonalField47,0.00019761977954415704
41,GeographicField21A,0.00019761977954415704
42,PersonalField77,0.00019761977954415704
43,PropertyField22,0.00019761977954415704
44,PersonalField30,0.00021957753282684115
45,PersonalField80,0.00021957753282684115
46,GeographicField13A,0.00021957753282684115
47,PersonalField44,0.00021957753282684115
48,PersonalField33,0.00024153528610952528
49,PersonalField76,0.0002634930393922094
50,PersonalField22,0.0002854507926748935
51,PersonalField29,0.0002854507926748935
52,Field12,0.0003074085459575776
53,PersonalField25,0.00032936629924026174
54,GeographicField11A,0.00035132405252294587
55,PropertyField38,0.00035132405252294587
56,PersonalField45,0.0003952395590883141
57,PersonalField28,0.0003952395590883141
58,Field6,0.0004171973123709982
59,PropertyField36,0.0004391550656536823
60,PersonalField75,0.0004391550656536823
61,PropertyField30,0.0004391550656536823
62,PersonalField79,0.0004391550656536823
63,GeographicField6A,0.00046111281893636643
64,PersonalField31,0.00048307057221905057
65,PersonalField74,0.00048307057221905057
66,PropertyField4,0.0005269860787844188
67,GeographicField12A,0.0005269860787844188
68,PersonalField81,0.0005269860787844188
69,CoverageField5B,0.0005489438320671029
70,SalesField15,0.000570901585349787
71,GeographicField8A,0.0005928593386324711
72,SalesField14,0.0007246058583285758
73,CoverageField6B,0.0007246058583285758
74,PropertyField28,0.0007465636116112599
75,PersonalField26,0.0007465636116112599
76,GeographicField16A,0.0007904791181766282
77,GeographicField16B,0.0007904791181766282
78,SalesField13,0.0008124368714593123
79,PropertyField29,0.0008343946247419964
80,PropertyField37,0.0009002678845900487
81,GeographicField12B,0.0009222256378727329
82,PropertyField8,0.000944183391155417
83,PersonalField82,0.0009661411444381011
84,PersonalField13,0.0009880988977207853
85,GeographicField7B,0.0010100566510034693
86,SalesField9,0.0010100566510034693
87,PersonalField6,0.0010100566510034693
88,GeographicField8B,0.0010320144042861535
89,GeographicField7A,0.0010978876641342058
90,PropertyField3,0.0011198454174168899
91,GeographicField15A,0.0011637609239822581
92,Field9,0.0011857186772649421
93,PropertyField32,0.0012076764305476264
94,PersonalField11,0.0012076764305476264
95,GeographicField26B,0.0014052962100917835
96,PersonalField2,0.0014492117166571515
97,GeographicField9A,0.001515084976505204
98,GeographicField41A,0.001537042729787888
99,GeographicField13B,0.001537042729787888
100,GeographicField22B,0.0015809582363532563
101,Field11,0.0017566202626147292
102,PropertyField21A,0.0017785780158974134
